86.813	27.958	-2.425	-9.865	1.200	0.600	0.000	4	1	EVE1
87.577	29.118	3.986	-13.300	2.300	1.400	0.000	4	1	LAZE
88.910	27.490	1.182	-11.194	2.800	1.900	0.000	5	1	WT15
91.661	26.153	-1.265	-5.312	0.140	0.120	0.000	6	1	GWHT
78.973	32.779	-7.781	-15.770	0.550	0.380	0.000	3	1	IAOH
78.704	33.191	-10.215	-18.087	2.600	1.000	0.000	2	1	MUTH
91.440	25.230	-1.462	-3.517	0.800	0.600	0.000	6	1	MOPE
91.740	26.140	-1.409	-7.996	0.800	0.600	0.000	6	1	GHTY
91.840	25.410	-1.019	-5.690	0.800	0.600	0.000	6	1	MUNN
91.860	25.570	-1.784	-4.688	0.400	0.400	0.000	6	1	CSOS
92.415	27.270	0.616	-13.759	0.400	0.400	0.000	5	1	BOMD
80.501	29.734	-4.152	-5.394	1.203	1.435	0.000	3	1	DRCL
80.582	28.754	1.618	-0.957	0.805	1.083	0.000	3	1	DNGD
80.626	29.177	-1.811	-0.609	0.888	0.776	0.000	3	1	GNTW
81.201	29.474	-1.740	-9.084	1.234	0.841	0.000	3	1	BYNA
81.595	28.117	-0.712	0.699	0.855	0.753	0.000	1	1	NPGJ
81.615	28.049	-1.587	0.672	1.073	1.385	0.000	1	1	NEPJ
81.714	28.656	-2.146	-2.375	0.657	0.495	0.000	3	1	BMCL
81.807	29.969	-4.194	-13.816	0.566	0.509	0.000	3	1	SMK0
82.193	29.278	-3.692	-9.828	0.436	0.439	0.000	3	1	JMLA
82.491	27.951	-0.677	-1.927	0.542	0.540	0.000	3	1	GRHI
82.818	28.984	-2.670	-11.223	0.599	0.636	0.000	3	1	DLPA
83.603	27.767	-0.973	-1.017	0.383	0.342	0.000	4	1	KLDN
83.743	28.805	-1.939	-9.819	1.234	0.655	0.000	4	1	JMSM
83.826	27.457	-1.890	0.708	0.753	0.649	0.000	4	1	BELT
83.895	29.179	-1.918	-11.493	0.634	0.391	0.000	4	1	MSTG
83.936	28.260	-1.534	-4.867	0.364	0.390	0.000	4	1	SRNK
84.130	27.648	-0.918	-0.681	0.673	0.820	0.000	4	1	KAWA
84.265	27.973	-0.704	-1.499	0.533	0.587	0.000	4	1	DMAU
84.380	28.229	-1.741	-4.678	0.664	0.563	0.000	4	1	BESI
84.410	28.375	-1.926	-7.697	1.054	0.906	0.000	4	1	GHER
84.985	27.166	-0.901	-0.311	0.348	0.346	0.000	4	1	SIM8
85.108	27.608	-1.131	-0.976	0.268	0.264	0.000	4	1	DAMA
85.279	27.801	-1.270	-2.600	0.330	0.391	0.000	4	1	KKN4
85.288	27.682	1.807	1.077	0.671	0.774	0.000	4	1	KIRT
85.314	28.207	-1.298	-8.809	0.636	0.339	0.000	4	1	CHLM
85.521	27.693	-1.768	-1.825	0.984	1.008	0.000	4	1	NAGA
85.877	27.910	-1.821	-7.028	0.319	0.344	0.000	4	1	GUMB
86.550	27.305	-2.567	-5.198	0.919	0.851	0.000	4	1	RMJT
86.597	26.991	-1.331	-3.351	1.771	0.930	0.000	4	1	RMTE
86.712	27.814	-1.380	-10.909	0.866	0.676	0.000	4	1	SYBC
87.267	26.484	-0.500	-0.437	1.021	1.244	0.000	6	1	BIRP
87.272	26.520	-0.512	-2.605	0.693	0.987	0.000	6	1	BRN2
87.281	26.439	-0.442	-1.136	0.638	0.638	0.000	6	1	BRNG
87.392	26.866	0.090	-0.355	0.580	0.339	0.000	5	1	ODRE
87.710	27.352	-0.672	-4.465	1.440	0.400	0.000	5	1	TPLJ
89.635	27.472	0.870	-8.166	0.719	0.709	0.000	5	1	TIMP
92.013	26.246	-0.839	-6.492	1.260	1.120	0.000	6	1	BURA
92.080	26.126	1.062	-6.897	1.210	1.070	0.000	6	1	KHET
92.204	26.117	-1.003	-7.186	1.370	1.240	0.000	6	1	JAGI
92.248	26.196	0.585	-6.941	1.040	0.920	0.000	6	1	KUMO
92.484	26.156	-3.838	-5.129	2.290	2.080	0.000	6	1	AMSO
92.629	26.073	3.344	-5.166	2.270	1.880	0.000	6	1	RAJA
92.650	26.163	2.739	-4.194	2.720	2.340	0.000	6	1	KAMP
92.725	25.526	1.177	-7.856	2.470	1.700	0.000	6	1	UMRA
92.825	25.717	1.257	-4.447	2.470	1.920	0.000	6	1	PANI
77.600	34.128	-8.949	-14.910	0.300	0.290	0.000	2	1	RSCL
91.885	25.566	-1.940	-4.237	0.290	0.260	0.000	6	1	SHIL
92.780	26.618	-0.033	-8.313	0.130	0.120	0.000	6	1	TZPR
88.400	26.980	-2.233	-0.226	0.500	0.400	0.000	5	1	MUNG
88.680	27.000	-1.718	-0.834	0.800	0.600	0.000	5	1	NIMC
88.185	26.883	-4.542	0.049	1.400	1.000	0.000	5	1	MIRK
88.350	26.711	-3.826	-1.423	1.900	1.500	0.000	5	1	NBUV
88.569	26.889	-5.613	-0.415	1.500	1.100	0.000	5	1	BGKT
88.702	27.024	-3.289	-4.157	1.400	0.900	0.000	5	1	AMBK
88.738	26.751	4.166	0.996	1.100	0.800	0.000	5	1	BRDH
88.753	26.881	3.798	-0.065	1.000	0.600	0.000	5	1	PMSM
88.791	27.010	0.119	-3.720	1.700	1.400	0.000	5	1	SAMS
88.936	26.965	2.158	-3.220	1.100	0.700	0.000	5	1	JITI
77.172	28.544	0.921	-3.333	2.520	1.490	0.000	1	1	JNUC
78.365	30.404	-1.709	-6.805	2.400	1.470	0.000	3	1	CHAM
78.676	30.997	-6.886	-12.172	2.350	1.460	0.000	3	1	SUKI
79.211	30.486	-11.435	-8.705	3.330	2.190	0.000	3	1	TUNG
79.559	30.531	-4.787	-7.237	4.180	2.360	0.000	3	1	AULI
79.620	29.638	1.559	-4.164	4.110	3.040	0.000	3	1	KTML
80.041	29.838	-1.542	-8.633	2.690	1.620	0.000	3	1	CHAU
